music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
,離原,8.4,莎妮妮 Serrini,2020|Serrini|香港|HK|粤语|单曲|Single|港乐,2020-08-14,https://music.douban.com/subject/35177313/,49
,Marshall Texas Is My Home,7.8,Floyd Dixon,Blues|PianoBlues|网易云|WestCoastBlues|SpecialtyRecords|RegionalBlues|Piano-Blues|JumpBlues,1991,https://music.douban.com/subject/3069001/,16
,Alone with My Friends,7.6,Memphis Slim,blues|OBC|Piano-Blues|Blues|obc|R&B|PianoBlues|OriginalBluesClassics,1996-06-25,https://music.douban.com/subject/2071046/,18
,Rex Stewart and the Ellingtonians,8.0,Rex Stewart and the Ellingtonians,jazz|OJC|Swing|Riverside|Jazz|欧美|ojc|TrumpetJazz,1991-07-01,https://music.douban.com/subject/3415585/,14
Davis与颤音琴演奏家Milt Jackson 在55年合作录制的专辑,Miles Davis and Milt Jackson Quintet/Sextet,8.3,Miles Davis and Milt Jackson,JAZZ|爵士|OJC|Miles_Davis|Jazz|HardBop|ojc|miles,1991-07-01,https://music.douban.com/subject/1763617/,41
,Barry Harris at the Jazz Workshop,8.0,Barry Harris,jazz|Jazz|OJC|BarryHarris|爵士|ojc|美国|欧美,1991-07-01,https://music.douban.com/subject/2040737/,39
,The DeJohnette Complex,7.1,Jack DeJohnette,Jazz|OJC|美国|ojc|jazz|Post-Bop|Milestone|1969,1991,https://music.douban.com/subject/3021739/,16
,Nolita 诺莉塔,8.6,KEREN ANN,Keren.Ann|KerenAnn|Folk|法国|Indie|民谣|诺莉塔|法语,,https://music.douban.com/subject/3255200/,208
,Live Session (iTunes Exclusive),8.5,Keren Ann,KerenAnn|Folk|法国|Live|民谣|欧美|女声|2007,2007-09-25,https://music.douban.com/subject/5244649/,131
露卡菲利普松傳記,La Biographie de Luka Philipsen,8.4,Keren Ann,KerenAnn|法国|Folk|indie|女声|民谣|欧美|Jazz,2000-05-15,https://music.douban.com/subject/3836398/,128
,Wreck Of The Day,8.4,Anna Nalick,Pop|Yomé|AnnaNalick,2005-07-11,https://music.douban.com/subject/3829547/,11
,101,8.4,Keren Ann,KerenAnn|Folk|法国|女声|indie|欧美|民谣|女歌手,2011-04-04,https://music.douban.com/subject/5995569/,126
,Tonite Let's All Make Love in London,8.3,Pink Floyd,PinkFloyd|Psychedelic|英国|OST|英伦摇滚|摇滚|SpaceRock|Rock,1994-08-18,https://music.douban.com/subject/1814004/,92
,A Collection of Great Dance Songs,8.5,Pink Floyd,PinkFloyd|Psychedelic|英国|摇滚|迷幻|Rock|Pink_Floyd|UK,2000-04-25,https://music.douban.com/subject/1468218/,414
,Shine on,8.9,Pink Floyd,PinkFloyd|Live|Psychedelic|没到火候|Rock|Psychedelic-rock|Progressive-Rock|迷幻,1992-11-09,https://music.douban.com/subject/1777252/,32
,Works,8.7,Pink Floyd,PinkFloyd|Psychedelic|英国|摇滚|迷幻|UK|Rock|Pink_Floyd,1990,https://music.douban.com/subject/1465139/,304
,A Saucerful of Secrets,9.9,Pink Floyd,迷幻|英国|rock|PinkFloyd|psychedelic,2001-05-16,https://music.douban.com/subject/3450295/,10
《遇龙》主题曲,遇萤,8.5,CRITTY,古风|橙光|游戏|华语|CRITTY|国语|想念之诗。|2018,2015-06-03,https://music.douban.com/subject/27168968/,590
,山有木兮,8.3,橙光音乐,古风|歌好听，词有诗意|意境美|伦桑|橙光|单曲|华语|流行,2017-10-16,https://music.douban.com/subject/27616517/,3045
,典狱司,8.7,音频怪物,古风|戏腔|音频怪物|故事感|老妖|华语|江岸词很棒|国剧主题曲,2016-08-01,https://music.douban.com/subject/26872305/,2174
电视剧《香蜜沉沉烬如霜》片尾曲,左手指月,8.8,萨顶顶,萨顶顶|香蜜沉沉烬如霜|高音|电视剧原声|华语音乐|华语|OST|电视剧,2018-03-19,https://music.douban.com/subject/30171738/,6445
,牵丝戏,8.7,银临,古风|戏腔|银临|Aki阿杰|柔情细语|华语|国语|木偶,2015年01月27日,https://music.douban.com/subject/26585875/,4724
,山外小楼夜听雨,8.3,任然,古风|任然|华语|女声|女歌手|国语|中国|流行,2016-01-15,https://music.douban.com/subject/33409087/,1122
,锦鲤抄,8.7,银临|云の泣,古风|银临|中国风|凄美|女声|云の泣|华语|爱情,2013-04-09,https://music.douban.com/subject/30401528/,2571
,东宫 电视剧原声大碟,9.1,余昭源|叶里|雁南归组合|冯达,东宫|影视原声|OST|西域风情|叶里|电视剧原声|冯达|华语音乐,2019-02-22,https://music.douban.com/subject/30469318/,1529
,RIVER【劇場盤】,8.5,AKB48,AKB48|日本|JPOP|j-pop|J-Pop|2009|J-pop|J-Pop、,2009-10-21,https://music.douban.com/subject/4103604/,251
"Beginner(DVD付) [Single, CD+DVD, Maxi]",Beginner (Type-B) [DVD+イベント参加券付初回限定盤],8.4,AKB48,AKB48|J-Pop|日本|JPOP|2010|单曲|Single|女声,2010-10-27,https://music.douban.com/subject/5064464/,540
,Beginner (Type-A) [DVD+イベント参加券付初回限定盤],8.3,AKB48,AKB48|日本|J-Pop|JPOP|2010|J-POP|Beginner|女声,2010-10-27,https://music.douban.com/subject/5064463/,784
,Beginner(Type-B)(DVD付),8.4,AKB48,AKB48|日本|J-pop|JPOP|2010|J-Pop|日本音乐|J-POP,2010-10-27,https://music.douban.com/subject/5064462/,332
,桜の木になろう 【劇場盤】,8.8,AKB48,AKB48|日本|J-POP|2011|JPOP|J-Pop|女声|J-pop,2011-02-16,https://music.douban.com/subject/6388662/,416
,桜の木になろう(初回限定盤Type-A)(DVD付),8.4,AKB48,AKB48|日本|J-POP|JPOP|2011|J-Pop|单曲|Single/EP,2011-02-16,https://music.douban.com/subject/5402208/,391
,【特典生写真無し、イベント参加券無し】桜の木になろう(Type-B)(DVD付),8.4,AKB48,AKB48|日本|J-POP|JPOP|2011|J-Pop|单曲|日语,2011-02-16,https://music.douban.com/subject/5402209/,326
,Don't Look Back in Anger,8.8,Oasis,Oasis|Britpop|英国|Rock|Brit-Pop|1996|欧美|Pop:Rock,1996-07-30,https://music.douban.com/subject/3882520/,42
美国白痴,American Idiot (The Original Broadway Cast Recording),9.4,Green Day,punk|美国|摇滚|rock|欧美|Musical|OST|2010,2010-04-20,https://music.douban.com/subject/20978997/,2552
一觉睡到国庆节,"Wake Me Up When September Ends [7"" VINYL]",9.5,Green Day,GreenDay|Punk|欧美|美国|Rock|2005|绿日|洋酒,2005-07-11,https://music.douban.com/subject/3990082/,104
,"MTV World Stage: Green Day - Live in Munich, Germany",9.6,Green Day,Greenday|摇滚|欧美|GreenDay|Punk|美国|朋克|听说他们卷土重来,2009-11-03,https://music.douban.com/subject/6065243/,54
,Don't Look Back in Anger,8.5,Oasis,Oasis|英国|Brit-Pop|欧美|Vincent|Britpop|1996|英伦,1996-07-30,https://music.douban.com/subject/3789174/,29
,American Edit,8.5,Dean Gray,GreenDay|Remix|恶搞|Punk|摇滚|美国|rock|欧美,2006,https://music.douban.com/subject/2276205/,1574
,Wake Me Up When September Ends UK CD Single 1,9.6,Green Day,GreenDay|Punk|欧美|美国|Green-Day|2005|摇滚|绿日,2005-06-13,https://music.douban.com/subject/3770060/,390
,Stop Crying Your Heart Out,8.5,,Oasis|英国|EP|Britpop|Brit-pop|Alternative-Rock|2002,2002-06-18,https://music.douban.com/subject/3595294/,15
,21st Century Breakdown,8.8,Green Day|Billie Joe Armstrong,GreenDay|Rock|Punk|美国|朋克|摇滚|Single|Pop-Punk,2009-12-28,https://music.douban.com/subject/4920833/,112
,Leave Out All the Rest,9.4,Linkin Park,LinkinPark|Linkin|park|Pop-Rock|欧美|Single|美国|摇滚,2008-07-22,https://music.douban.com/subject/3801355/,66
,ポニーテールとシュシュ（劇場盤）,9.0,AKB48,AKB48|日本|J-POP|J-Pop|JPOP|2010|Single/EP|J-pop,2010-05-26,https://music.douban.com/subject/6383136/,291
,Beginner（劇場盤）,9.2,AKB48,AKB48|J-Pop|日本|JPOP|2010|J-POP|神曲|日本音乐,2010-10-27,https://music.douban.com/subject/6194908/,438
,,,,,,,
,,,,,,,
,《Everyday、カチューシャ》TYPE-B 限定盘,7.6,AKB48,AKB48|日本|JPOP|J-Pop|2011|J-POP|J-pop|日语,2011-05-25,https://music.douban.com/subject/6426605/,329
,フライングゲット [Type-A/CD+DVD/初回盤],8.2,AKB48,AKB48|日本|J-Pop|JPOP|2011|J-POP|日本音乐|女声,2011-08-24,https://music.douban.com/subject/6558421/,318
,GIVE ME FIVE!  （数量限定生産盤Type-A／CD＋DVD ※握手会イベント参加券付き）,8.2,AKB48,AKB48|J-Pop|日本|JPOP|2012|J-pop|J-POP|日语,2012-02-15,https://music.douban.com/subject/7063893/,276
,Stop Crying Your Heart Out,9.2,Oasis,Oasis|英国|Vincent|欧美|Britpop|Brit-pop|Alternative-Rock|2002,2002-07-29,https://music.douban.com/subject/3864346/,29
,,,,,,,
,"Falling Down [7"" VINYL]",9.5,Oasis,oasis|英国|Rock|2009|UK|Oasis|Brit-pop|ACG,2009-03-09,https://music.douban.com/subject/3829773/,20
,"Different Gear, Still speeding (Special CD+DVD Edition)",7.2,Beady Eye,BeadyEye|2011|重复条目|英国入侵|英伦|\阿姨打我/|Vincent|UK,2011-02-28,https://music.douban.com/subject/5975865/,24
,Roll with It,8.3,OASIS,Oasis|英国|Vincent|Rock|Britpop|经典|单曲|1995,95-9-7,https://music.douban.com/subject/6023712/,10
,,,,,,,
,Warning,8.7,Green Day,Rock|Punk|GreenDay|美国|朋克|摇滚,2001-03-20,https://music.douban.com/subject/3525492/,16
,Clocks,9.3,Coldplay,Coldplay|UK|Rock|英国|Pop|欧美|Brit-pop|英文,2003-03-11,https://music.douban.com/subject/3874144/,40
,Dookie,8.8,Green Day,GreenDay|美国|Rock|Punk|欧美|摇滚|乐队|Pop,1995-07-18,https://music.douban.com/subject/3649459/,57
,,,,,,,
,"What I've Done, Pt. 1",9.1,Linkin Park,LinkinPark|Nu-Metal|Pop|热血|metal|2007|美国|rock,2007-05-14,https://music.douban.com/subject/2377342/,67
,Leave Out All the Rest,9.2,Linkin Park,LinkinPark|欧美|美国|Linkin|2008|电影原声|林肯公园|Linkin.Park,2008-11-26,https://music.douban.com/subject/3910102/,201
,In the End Pt. 1,9.5,Linkin Park,linkinpark|欧美|Rock|男声|hip-hop|美国|LinkinPark|Park,2002-08-20,https://music.douban.com/subject/1862682/,75
,Papercut,9.5,Linkin Park,LinkinPark|美国|Industrial-Metal|park|linkin|杂,2001-08-28,https://music.douban.com/subject/3277580/,43
,Minutes to Midnight-Tour Edition,9.0,Linkin Park,LinkinPark|Linkin|Industrial-Metal|2008|Vincent|Park,2008-03-25,https://music.douban.com/subject/4210347/,25
,Last Of The American Girls,8.4,Green Day,GreenDay|Punk|Rock|美国|Pop-Punk|2010|US|Single,2010-04-06,https://music.douban.com/subject/4883844/,184
,Oh Love - Single,7.9,Green Day,GreenDay|Punk|2012|Single|美国|Rock|欧美|乐队,2012-07-16,https://music.douban.com/subject/11519789/,66
,21st Century Breakdown SINGLE - German only 2track CD,9.2,Green Day,GreenDay|Rock|Punk|美国|poppunk|Vincent|洋酒|朋克,,https://music.douban.com/subject/4920832/,35
,Clocks,9.0,Coldplay,Coldplay|英国|Rock|欧美|Pop|Britpop|UK|Single,2003-07-08,https://music.douban.com/subject/3781999/,45
,Stop Crying Your Heart Out,9.1,Oasis,Oasis|2002|英国|Vincent|Rock|Britpop|EP|CD党,2002-06-13,https://music.douban.com/subject/3817842/,43
